"jou","issn","SciMet_A","SciMet_B","SciMet_C","entry"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Earth System Science Data","1866-3508","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"Physical Review C - Nuclear Physics","2469-9985","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Intensive Care Medicine Experimental","2197-425X","Health Sciences","Clinical Medicine","General & Internal Medicine","manual"
"Proceedings of the National Academy of Sciences of the United States of America","0027-8424","General","General Science & Technology","General Science & Technology","manual"
"Proceedings of the National Academy of Sciences of the United States of America","0027-8424","General","General Science & Technology","General Science & Technology","manual"
"Nature Communications","2041-1723","Natural Sciences","Biology","Ecology","manual"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Astronomy & astrophysics. Supplement series","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","select_name"
"Astronomy & astrophysics. Supplement series","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","select_name"
"Astronomy & astrophysics. Supplement series","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","select_name"
"Astronomy & astrophysics. Supplement series","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","select_name"
"Astronomy & astrophysics. Supplement series","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","select_name"
"Astronomy & astrophysics. Supplement series","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","select_name"
"International Journal for Numerical and Analytical Methods in Geomechanics","0363-9061","Applied Sciences","Engineering","Geological & Geomatics Engineering","auto_issn"
"International Journal for Numerical and Analytical Methods in Geomechanics","0363-9061","Applied Sciences","Engineering","Geological & Geomatics Engineering","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review A - Atomic, Molecular, and Optical Physics","2469-9926","Natural Sciences","Physics & Astronomy","General Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Chemical Reviews","0009-2665","Natural Sciences","Chemistry","General Chemistry","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Physical Review B - Condensed Matter and Materials Physics","2469-9950","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","select_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Optics express","1094-4087","Natural Sciences","Physics & Astronomy","Optics","auto_name"
"Optics express","1094-4087","Natural Sciences","Physics & Astronomy","Optics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Nature Communications","2041-1723","Natural Sciences","Biology","Ecology","manual"
"Zootaxa","1175-5326","Natural Sciences","Biology","Zoology","auto_issn"
"Science","0036-8075","General","General Science & Technology","General Science & Technology","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Artificial Intelligence in Medicine","0933-3657","Applied Sciences","Information & Communication Technologies","Medical Informatics","auto_issn"
"European Heart Journal (Elsevier)","0195-668X","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"European Heart Journal (Elsevier)","0195-668X","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"Annals of Laparoscopic and Endoscopic Surgery","2518-6973","Health Sciences","Clinical Medicine","Surgery","manual"
"Bulletin of the American Meteorological Society","0003-0007","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"ACS Nano","1936-0851","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","auto_issn"
"Allergy","0105-4538","Health Sciences","Clinical Medicine","Allergy","auto_issn"
"Allergy","0105-4538","Health Sciences","Clinical Medicine","Allergy","auto_issn"
"APL photonics","2378-0967","Natural Sciences","Physics & Astronomy","Optics","manual"
"Aquatic Conservation: Marine and Freshwater Ecosystems","1052-7613","Natural Sciences","Biology","Marine Biology & Hydrobiology","auto_issn"
"Archives of Virology","0304-8608","Health Sciences","Biomedical Research","Virology","auto_issn"
"Biological Invasions","1387-3547","Natural Sciences","Biology","Ecology","auto_issn"
"Biological Reviews","1464-7931","Natural Sciences","Biology","Evolutionary Biology","auto_issn"
"Earth and Planetary Science Letters","0012-821X","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Environment & planning A","0308-518X","Economic & Social Sciences","Social Sciences","Geography","auto_issn"
"Journal of High Energy Astrophysics","2214-4048","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"Journal of Magnetism and Magnetic Materials","0304-8853","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Lithos","0024-4937","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Nature Photonics","1749-4885","Applied Sciences","Enabling & Strategic Technologies","Optoelectronics & Photonics","auto_issn"
"Nature Physics","1745-2473","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Solar Energy","0038-092X","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Space Science Reviews","0038-6308","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"Space weather","1542-7390","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"Surgical Endoscopy","0930-2794","Health Sciences","Clinical Medicine","Surgery","auto_issn"
"Brain and behavior","2162-3279","Health Sciences","Psychology & Cognitive Sciences","General Psychology & Cognitive Sciences","manual"
"Journal of Visual Communication and Image Representation","1047-3203","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Ecology and Evolution","2045-7758","Natural Sciences","Biology","Ecology","custom"
"EPL (Europhysics Letters)","0295-5075","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Medical Mycology (Informa)","1369-3786","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Metals","2075-4701","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Physics of Fluids","1070-6631","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Remote sensing (Basel)","2072-4292","Applied Sciences","Engineering","Geological & Geomatics Engineering","manual"
"Atmosphere (Basel)","2073-4433","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","manual"
"Acta Mathematica Sinica, English Series","1439-8516","Natural Sciences","Mathematics & Statistics","General Mathematics","auto_issn"
"International journal of systematic and evolutionary microbiology","1466-5026","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Allergy","0105-4538","Health Sciences","Clinical Medicine","Allergy","auto_issn"
"Transplant Immunology","0966-3274","Health Sciences","Clinical Medicine","Surgery","auto_issn"
"Transplantation","0041-1337","Health Sciences","Clinical Medicine","Surgery","auto_issn"
"Advances in mathematics of communications","1930-5346","Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","manual"
"Cell Death & Differentiation","1350-9047","Health Sciences","Biomedical Research","Biochemistry & Molecular Biology","auto_issn"
"Foundations of Physics","0015-9018","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Computers & Mathematics with Applications","0898-1221","Natural Sciences","Mathematics & Statistics","Numerical & Computational Mathematics","auto_issn"
"Leukemia","0887-6924","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Radiation Protection Dosimetry","0144-8420","Health Sciences","Clinical Medicine","Nuclear Medicine & Medical Imaging","auto_issn"
"Radiation Protection Dosimetry","0144-8420","Health Sciences","Clinical Medicine","Nuclear Medicine & Medical Imaging","auto_issn"
"Physica Status Solidi - Rapid Research Letters","1862-6254","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Cognitive, Affective, & Behaviorial Neuroscience","1530-7026","Health Sciences","Psychology & Cognitive Sciences","Experimental Psychology","auto_issn"
"Oncology Reports","1021-335X","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","manual"
"PloS one","1932-6203","General","General Science & Technology","General Science & Technology","auto_name"
"Nature Methods","1548-7091","Health Sciences","Biomedical Research","Developmental Biology","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Journal of Infectious Diseases","0022-1899","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Clinical & Experimental Immunology","0009-9104","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Soil Biology & Biochemistry","0038-0717","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","auto_issn"
"Applied Mathematical Modelling","0307-904X","Applied Sciences","Engineering","Mechanical Engineering & Transports","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Intermetallics","0966-9795","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Tunnelling and Underground Space Technology","0886-7798","Applied Sciences","Engineering","Geological & Geomatics Engineering","auto_issn"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical review materials","2475-9953","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Haematologica","0390-6078","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Mathematical Methods in the Applied Sciences","0170-4214","Natural Sciences","Mathematics & Statistics","Applied Mathematics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"International Journal of Hydrogen Energy","0360-3199","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Journal of Alloys and Compounds","0925-8388","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Zootaxa","1175-5326","Natural Sciences","Biology","Zoology","auto_issn"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Orphanet Journal of Rare Diseases","1750-1172","Health Sciences","Biomedical Research","Genetics & Heredity","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Journal of Physics: Condensed Matter","0953-8984","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Chemistry - A European Journal","0947-6539","Natural Sciences","Chemistry","General Chemistry","auto_issn"
"Atmospheric Chemistry and Physics","1680-7316","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review A - Atomic, Molecular, and Optical Physics","2469-9926","Natural Sciences","Physics & Astronomy","General Physics","auto_name"
"Physica A: Statistical Mechanics and its Applications","0378-4371","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Science","0036-8075","General","General Science & Technology","General Science & Technology","auto_issn"
"International Journal of Hydrogen Energy","0360-3199","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Blood","0006-4971","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Earth System Science Data","1866-3508","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The Astrophysical Journal","0004-637X","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Cancer Research","0008-5472","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Transplantation","0041-1337","Health Sciences","Clinical Medicine","Surgery","auto_issn"
"ACS sustainable chemistry & engineering","2168-0485","Applied Sciences","Engineering","Chemical Engineering","manual"
"Allergy","0105-4538","Health Sciences","Clinical Medicine","Allergy","auto_issn"
"Applied clinical informatics","1869-0327","Applied Sciences","Information & Communication Technologies","Medical Informatics","manual"
"BioScience (BioOne)","0006-3568","Natural Sciences","Biology","Ecology","auto_issn"
"Circulation: Heart Failure","1941-3289","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"Environmental Microbiology","1462-2912","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Epilepsia","0013-9580","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Geological Society of America bulletin","0016-7606","Natural Sciences","Earth & Environmental Sciences","Geology","auto_issn"
"IEEE Internet Computing","1089-7801","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","auto_issn"
"Intermetallics","0966-9795","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Journal of Small Business Management","0047-2778","Economic & Social Sciences","Economics & Business ","Business & Management","auto_issn"
"Metals","2075-4701","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Nano Research","1998-0124","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","auto_issn"
"Neuro-Oncology","1522-8517","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Paleoceanography and paleoclimatology","2572-4517","Natural Sciences","Earth & Environmental Sciences","Geology","manual"
"Schizophrenia Research","0920-9964","Health Sciences","Clinical Medicine","Psychiatry","auto_issn"
"Science Advances","2375-2548","General","General Science & Technology","General Science & Technology","manual"
"Science of the Total Environment","0048-9697","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Science of the Total Environment","0048-9697","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"European Journal of Mineralogy","0935-1221","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Transplantation","0041-1337","Health Sciences","Clinical Medicine","Surgery","auto_issn"
"ISPRS international journal of geo-information","2220-9964","Economic & Social Sciences","Social Sciences","Geography","manual"
"Contributions to Plasma Physics","0863-1042","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Journal of renewable and sustainable energy","1941-7012","Applied Sciences","Enabling & Strategic Technologies","Energy","manual"
"Geochemistry, geophysics, geosystems","1525-2027","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Sustainability (Basel)","2071-1050","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","manual"
"Science Advances","2375-2548","General","General Science & Technology","General Science & Technology","manual"
"Polymers","2073-4360","Natural Sciences","Chemistry","Polymers","manual"
"Applied Vegetation Science","1402-2001","Natural Sciences","Biology","Ecology","auto_issn"
"IEEE transactions on services computing","1939-1374","Applied Sciences","Information & Communication Technologies","Software Engineering","manual"
"International journal of molecular medicine","1107-3756","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"The Journal of rheumatology","0315-162X","Health Sciences","Clinical Medicine","Arthritis & Rheumatology","auto_issn"
"Fems Microbiology Ecology","0168-6496","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Ground Water","0017-467X","Applied Sciences","Engineering","Environmental Engineering","auto_issn"
"Microbiology spectrum","2165-0497","Health Sciences","Biomedical Research","Microbiology","manual"
"IEEE Transactions on Plasma Science","0093-3813","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"IET Networks","2047-4954","Applied Sciences","Built Environment & Design","Urban & Regional Planning","manual"
"Ticks and tick-borne diseases","1877-959X","Health Sciences","Biomedical Research","Microbiology","manual"
"Journal of the Geological Society","0016-7649","Natural Sciences","Earth & Environmental Sciences","Geology","auto_issn"
"Asian Population Studies","1744-1730","Economic & Social Sciences","Social Sciences","Demography","auto_issn"
"Epilepsia","0013-9580","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"IEEE transactions on terahertz science and technology","2156-342X","Natural Sciences","Physics & Astronomy","Applied Physics","manual"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Journal of Optimization Theory and Applications","0022-3239","Applied Sciences","Engineering","Operations Research","auto_issn"
"Environmental Research Letters","1748-9326","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_name"
"Constructivist Foundations","1782-348X","Arts & Humanities","Philosophy & Theology","Applied Ethics","manual"
"Atherosclerosis","0021-9150","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"Journal of Asian Earth Sciences","1367-9120","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Biology and Fertility of Soils","0178-2762","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Earth and Planetary Science Letters","0012-821X","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Applied Mathematical Modelling","0307-904X","Applied Sciences","Engineering","Mechanical Engineering & Transports","auto_issn"
"Atmospheric Chemistry and Physics","1680-7316","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"Astronomy & astrophysics","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"Dalton Transactions","1477-9226","Natural Sciences","Chemistry","Inorganic & Nuclear Chemistry","auto_issn"
"Advanced Functional Materials","1616-301X","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"PloS one","1932-6203","General","General Science & Technology","General Science & Technology","auto_name"
"Communications Physics","2399-3650","Natural Sciences","Physics & Astronomy","General Physics","manual"
"npj Schizophrenia",NA,"Health Sciences","Clinical Medicine","Psychiatry","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Science","0036-8075","General","General Science & Technology","General Science & Technology","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"The journal of physical chemistry letters","1948-7185","Natural Sciences","Chemistry","Physical Chemistry","manual"
"The Astrophysical Journal","0004-637X","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Gigascience","2047-217X","General","General Science & Technology","General Science & Technology","manual"
"Breast Cancer Research","1465-542X","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_name"
"Theoretical Computer Science","0304-3975","Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","auto_issn"
"Astronomy & astrophysics","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"Astronomy & astrophysics","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"Geochimica et Cosmochimica Acta","0016-7037","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Materials Letters","0167-577X","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Science of the Total Environment","0048-9697","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"BMC Public Health","1471-2458","Health Sciences","Public Health & Health Services","Public Health","auto_name"
"Nature","0028-0836","General","General Science & Technology","General Science & Technology","auto_issn"
"Physical Review C - Nuclear Physics","2469-9985","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Biogeosciences","1726-4170","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Cancer Cell","1535-6108","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Frontiers in immunology","1664-3224","Health Sciences","Clinical Medicine","Immunology","manual"
"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","0168-9002","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Genome Biology","1474-760X","Applied Sciences","Enabling & Strategic Technologies","Bioinformatics","auto_issn"
"Atmospheric Chemistry and Physics","1680-7316","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
